sample_name	bam	common_name	pca_cluster
ABLG11920-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG11920-1.bam	sunset	sunset
ABLG12067-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG12067-1.bam	sunset	sunset
ABLG11582-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG11582-1.bam	sunset	sunset
ABLG11629-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG11629-1.bam	sunset	sunset
ABLG11608-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG11608-1.bam	sunset	sunset
ABLG11916-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG11916-1.bam	sunset	sunset
ABLG11926-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG11926-1.bam	sunset	sunset
ABLG11933-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG11933-1.bam	sunset	sunset
ABLG12427-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG12427-1.bam	sunset	sunset
ABLG11919-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG11919-1.bam	sunset	sunset
ABLG12092-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG12092-1.bam	sunset	sunset
ABLG12085-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG12085-1.bam	sunset	sunset
ABLG12069-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG12069-1.bam	sunset	sunset
ABLG12428-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG12428-1.bam	sunset	sunset
ABLG12430-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG12430-1.bam	sunset	sunset
ABLG11918-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG11918-1.bam	vermilion	vermilion_1
ABLG11913-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG11913-1.bam	vermilion	vermilion_1
ABLG11944-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG11944-1.bam	vermilion	vermilion_1
ABLG11912-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG11912-1.bam	vermilion	vermilion_1
ABLG11914-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG11914-1.bam	vermilion	vermilion_1
ABLG9871-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG9871-1.bam	vermilion	vermilion_2
ABLG11795-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG11795-1.bam	vermilion	vermilion_2
ABLG11785-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG11785-1.bam	vermilion	vermilion_2
ABLG11905-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG11905-1.bam	vermilion	vermilion_2
ABLG11906-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG11906-1.bam	vermilion	vermilion_2
ABLG11937-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG11937-1.bam	vermilion	vermilion_3
ABLG11940-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG11940-1.bam	vermilion	vermilion_3
ABLG11941-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG11941-1.bam	vermilion	vermilion_3
ABLG11786-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG11786-1.bam	vermilion	vermilion_3
ABLG11789-1	/global/scratch/users/zzhou32/loco-pipe/bams/ABLG11789-1.bam	vermilion	vermilion_3
